title,author,category,quantity
Fundamentals of Wavelets,"Goswami, Jaideva",drame,1
Data Smart,"Foreman, John",data_science,1
God Created the Integers,"Hawking, Stephen",mathematics,1
Superfreakonomics,"Dubner, Stephen",economics,1
Orientalism,"Said, Edward",history,1
Integration of the Indian States,"Menon, V P",history,1
"Drunkard's Walk, The","Mlodinow, Leonard",science,1
Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing,1
How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,1
Data Scientists at Work,Sebastian Gutierrez,data_science,1
Slaughterhouse Five,"Vonnegut, Kurt",fiction,1
Birth of a Theorem,"Villani, Cedric",mathematics,1
Structure & Interpretation of Computer Programs,"Sussman, Gerald",computer_science,1
"Age of Wrath, The","Eraly, Abraham",history,1
"Trial, The","Kafka, Frank",fiction,1
Statistical Decision Theory',"Pratt, John",data_science,1
Data Mining Handbook,"Nisbet, Robert",data_science,1
"New Machiavelli, The","Wells, H. G.",fiction,1
Physics & Philosophy,"Heisenberg, Werner",science,1
Making Software,"Oram, Andy",computer_science,1
Machine Learning for Hackers,"Conway, Drew",data_science,1
"Signal and the Noise, The","Silver, Nate",data_science,1
Python for Data Analysis,"McKinney, Wes",data_science,1
Introduction to Algorithms,"Cormen, Thomas",computer_science,1
"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,1
"Outsider, The","Camus, Albert",fiction,1
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,1
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,1
"Wealth of Nations, The","Smith, Adam",economics,1
"Pillars of the Earth, The","Follett, Ken",fiction,1
Mein Kampf,"Hitler, Adolf",nonfiction,1
"Tao of Physics, The","Capra, Fritjof",science,1
Surely You're Joking Mr Feynman,"Feynman, Richard",science,1
"Farewell to Arms, A","Hemingway, Ernest",fiction,1
"Veteran, The","Forsyth, Frederick",fiction,1
False Impressions,"Archer, Jeffery",fiction,1
"Last Lecture, The","Pausch, Randy",nonfiction,1
Return of the Primitive,"Rand, Ayn",philosophy,2
Jurassic Park,"Crichton, Michael",fiction,1
"Russian Journal, A","Steinbeck, John",nonfiction,1
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,1
Freakonomics,"Dubner, Stephen",economics,1
"Hidden Connections, The","Capra, Fritjof",science,1
"Story of Philosophy, The","Durant, Will",philosophy,1
Asami Asami,"Deshpande, P L",fiction,2
Journal of a Novel,"Steinbeck, John",fiction,1
Once There Was a War,"Steinbeck, John",nonfiction,1
"Moon is Down, The","Steinbeck, John",fiction,1
"Brethren, The","Grisham, John",fiction,1
"Complete Mastermind, The",BBC,nonfiction,1
Dylan on Dylan,"Dylan, Bob",nonfiction,1
Soft Computing & Intelligent Systems,"Gupta, Madan",data_science,2
